infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;featurizer;attribute;feature;weight
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;inspectionid;0.259
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;dbaname;1.005
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;akaname;0.0
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;license;0.839
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;facilitytype;0.466
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;risk;0.365
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;address;1.228
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;city;-0.04
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;state;-0.061
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;zip;0.422
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;inspectiondate;1.169
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;inspectiontype;0.495
dk;incremental;True;-1;1;OccurAttrFeaturizer;akaname;results;0.545
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;inspectionid;0.172
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;dbaname;1.178
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;akaname;0.791
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;license;1.096
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;facilitytype;-0.038
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;risk;0.499
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;address;0.95
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;city;-0.175
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;state;0.746
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;zip;0.081
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;inspectiondate;-0.044
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;inspectiontype;-0.08
dk;incremental;True;-1;1;OccurAttrFeaturizer;facilitytype;results;0.306
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;inspectionid;0.887
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;dbaname;1.564
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;akaname;-0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;license;1.429
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;facilitytype;0.52
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;risk;0.143
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;address;1.775
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;city;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;state;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;zip;0.792
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;inspectiondate;1.571
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;inspectiontype;0.561
dk;incremental;True;-1;2;OccurAttrFeaturizer;akaname;results;0.292
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;inspectionid;-0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;dbaname;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;akaname;-0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;license;0.0
